中文名,外文名,性别,国籍,身高,体重,项目,省份
安-弗雷泽 ,Shelly-Ann Fraser-Pryce,女,牙买加,160厘米,52kg,田径,
安吉尔·麦克康特利 ,Angel McCoughtry,女,美国,185cm,73kg,篮球,
毕晓琳 ,Bi Xiaolin,女,中国,,,足球,辽宁
阿莱克斯?加西亚 ,Alex Garcia,男,巴西,191厘米,89kg,篮球,
保罗·乔治 ,Paul George,男,美国,203厘米,95kg,篮球,
米西·富兰克林 ,Missy Franklin,女,美国,1.88米,75kg,游泳,
李胜珍 ,Li Shengzhen,女,韩国,165 厘米,60kg,射箭,
马龙 ,Ma Long,男,中国,175cm,72kg,乒乓球,辽宁
拉尔斯-本德 ,Lars Bender,男,德国,184cm,77kg,男子足球,
木村纱织 ,Saori Kimura,女,日本,185厘米,65kg,排球,
吕小军 ,Lv Xiaojun,男,中国,172厘米,77kg,举重,湖北
米歇尔·普罗菲 ,Michelle Plouffe,女,加拿大,191厘米,82kg,篮球,
林希妤 ,Lin Xiyu,女,中国,,,高尔夫,广东
米兰达·阿伊木 ,Miranda Ayim,女,加拿大,183厘米,78kg,篮球,
李昊桐 ,Li Haotong,男,中国,183厘米,75kg,高尔夫,湖南
毛艺 ,Mao Yi,女,中国,,,体操,辽宁
李龙大 ,Lee Yong Dae,男,韩国,178厘米,65kg,羽毛球,
苗甜 ,Miao Tian,女,中国,,,赛艇,北京
李皓晴 ,Li Haoqing,女,中国香港,,,乒乓球,香港
马克·加索尔 ,Marc Gasol,男,西班牙,216cm,120kg,篮球,
马赛林霍?胡尔塔斯 ,Marcelinho Huertas,男,巴西,190厘米,85kg,篮球,
马晓旭 ,MA Xiaoxu,女,中国,,,足球,辽宁
马英楠 ,Ma Ying Nan,女,中国,,,柔道,辽宁
马青 ,Ma Qing,女,中国,,,皮划艇静水,山东
马剑飞 ,Ma Jianfei,男,中国,186厘米,77kg,击剑,广东
玛蒂娜·辛吉斯 ,Martina Hingis,女,瑞士,170cm,,网球,
马修·埃蒙斯 ,Matthew Emmons,男,美国,178厘米,80kg,射击,
马思莱尼科夫 ,Vladimir MASLENNIKOV,男,俄罗斯,168厘米,67kg,射击男子气步枪,
米尔扎 ,Sania Mirza,女,印度,173cm,57kg,网球,
内内?希拉里奥 ,Nene Hilario,男,巴西,211厘米,113kg,篮球,
马金尼奥斯 ,Marquinhos,男,巴西,183cm,80kg,男子足球,
马修·德拉夫多瓦 ,Matthew Dellavedova,男,澳大利亚,193厘米,86kg,篮球,
尼古拉斯·巴图姆 ,Nicolas Batum,男,法国,203厘米,90kg,篮球,
毛飞廉 ,Mao Feilian,男,中国,,,游泳,浙江
马努·吉诺比利 ,Manu Ginobili,男,阿根廷,198厘米,93kg,篮球,
诺瓦克·德约科维奇 ,Novak Djokovic,男,塞尔维亚,187厘米,80kg,网球,
迈尔 ,Max Meyer,男,德国,173cm,69kg,男子足球,
马克·霍顿 ,Mark Houghton,男,澳大利亚,,,游泳,
娜塔莉·阿乔恩瓦 ,Natalie Achonwa,女,加拿大,192厘米,83kg,篮球,
马欢欢 ,Ma Huanhuan,女,中国,178厘米,73kg,女子水球,广西
马晋 ,?Ma Jin,女,中国,167厘米,60kg,羽毛球,江苏
内瓦尔·塞娜 ,Saina Nehwal,女,印度,167厘米,60kg,羽毛球,
梅笑寒 ,Mei Xiaohan,女,中国,,,水球,安徽
莫有雪 ,Mo Youxue,男,中国,179cm,65kg,田径,广东
内村航平 ,Kohei Uchimura,男,日本,161cm,55kg,体操,
孟强 ,Meng Qiang,男,中国,,,摔跤,
米奇?拉尔金 ,Mitch Larkin,男,澳大利亚,187厘米,72kg,游泳,
内弗利耶·伊尔马兹 ,Nevriye Yilmaz,女,土耳其,194厘米,85kg,篮球,
玛雅·摩尔 ,Maya Moore,女,美国,175cm,79kg,篮球,
马端斌 ,Ma Duan Bin,男,中国,,,柔道,北京
牛冠男 ,Niu Guannan,女,中国,,,水球,广西
马梦露 ,Ma Menglu,女,中国,,,自行车,河南
玛利亚·格罗兹德娃 ,Maria Grozdeva,女,保加利亚,163厘米,66kg,射击,
内马尔 ,Neymar,男,巴西,175cm,64kg,男子足球,
莫有雪 ,Mo Youxue,男,中国,179cm,65kg,田径,广东
宁泽涛 ,Ning Zetao,男,中国,191cm,76-80kg,游泳,河南
朴泰桓 ,Park Tae-Hwan,男,韩国,183厘米,74kg,游泳,
娜迪亚·考尔哈多 ,Nadia Colhado,女,巴西,194厘米,84kg,篮球,
彭飞 ,Peng Fei,男,中国,,,摔跤,陕西西安
欧紫霞 ,Ou Zixia,女,中国,,,女子曲棍球,四川
乔·英格尔斯 ,Joe Ingles,男,澳大利亚,,,篮球,
潘飞鸿 ,Pan Feihong,女,中国,,53kg,赛艇,浙江
乔斯·卡尔德隆 ,Jose Calderon,男,西班牙,191cm,95kg,篮球,
庞丰月 ,PANG Fengyue,女,中国,,,足球,辽宁
切阳什姐 ,Qie Yangshijie,女,中国,159cm,47kg,田径,青海
